K=200 T=1.0
T=1.0
Clustering x.shape=(116269, 162)
('Original shape:', (116269, 162))
Clustering into 200 categories ...
Initialization complete
Iteration 49, inertia 304.807
Iteration 50, inertia 304.800
Iteration 51, inertia 304.794
Iteration 52, inertia 304.788
Iteration 53, inertia 304.784
Iteration 54, inertia 304.781
Iteration 55, inertia 304.778
Iteration 56, inertia 304.775
Iteration 57, inertia 304.771
Iteration 58, inertia 304.767
Iteration 59, inertia 304.764
Iteration 60, inertia 304.762
Iteration 61, inertia 304.759
Iteration 62, inertia 304.757
Iteration 63, inertia 304.755
Iteration 64, inertia 304.754
Iteration 65, inertia 304.752
Iteration 66, inertia 304.751
Iteration 67, inertia 304.749
Iteration 68, inertia 304.748
Iteration 69, inertia 304.747
Iteration 70, inertia 304.746
Iteration 71, inertia 304.745
Iteration 72, inertia 304.743
Iteration 73, inertia 304.742
Iteration 74, inertia 304.741
Iteration 75, inertia 304.739
Iteration 76, inertia 304.738
Iteration 77, inertia 304.736
Iteration 78, inertia 304.734
Iteration 79, inertia 304.732
Iteration 80, inertia 304.730
Iteration 81, inertia 304.727
Iteration 82, inertia 304.725
Iteration 83, inertia 304.723
Iteration 84, inertia 304.721
Iteration 85, inertia 304.719
Iteration 86, inertia 304.717
Iteration 87, inertia 304.716
Iteration 88, inertia 304.714
Iteration 89, inertia 304.712
Iteration 90, inertia 304.710
Iteration 91, inertia 304.708
Iteration 92, inertia 304.705
Iteration 93, inertia 304.703
Iteration 94, inertia 304.700
Iteration 95, inertia 304.697
Iteration 96, inertia 304.695
Iteration 97, inertia 304.693
Iteration 98, inertia 304.690
Iteration 99, inertia 304.688
Iteration 100, inertia 304.686
Iteration 101, inertia 304.685
Iteration 102, inertia 304.683
Iteration 103, inertia 30codebook done
Final x.shape=(400, 10, 200)
Final y.shape=(400, 10)
K=200 T=1.0
T=1.0
Clustering x.shape=(767349, 416)
('Original shape:', (767349, 416))
Clustering into 200 categories ...
codebook done
Final x.shape=(400, 10, 200)
Final y.shape=(400, 10)
